price.symbol,shortName,longBusinessSummary,sector,industry,beta,marketCap,OCY Margin,priceToSalesTrailing12Months,revenueGrowth,Revenue Multiplier,Revenu M nOrmalised,52WeekChange,currentPrice,mostRecentQuarter,trailingAnnualDividendYield,payoutRatio,exDividendDate,heldPercentInsiders,heldPercentInstitutions,country,Employees,EarningsGrowth,EVEBITDA,Floatshares,ForwardEps,PricetoBook,ProfitMargin,SharesOutstaning,TrailingEPs,CurrentPrice2,DebttoEquity,FreeCashflow,GrossMargin,OperatingCashflow,OperatingMargin,ProfitMargin3,QuickRatio,ROA,Revenuepershare,TotalCash,TotalDebt,totalRevenue,Fiftytwoweekhigh,Fiftytwoweeklow,priceToSalesTrailing12Months4,AnnualDividednYield,TrailingPE,City,Country5,Earningdateexpected,targetMeanPrice,targetHighPrice,totalRevenue_raw,marketCap_raw,revenueperemp,Operating Income
ELS,"Equity Lifestyle Properties, In","We are a self-administered, self-managed real estate investment trust (ÂREITÂ) with headquarters in Chicago. As of January 25, 2021, we own or have an interest in 423 quality properties in 33 states and British Columbia consisting of 161,229 sites.",Real Estate,REIT—Residential,0.483748,11.359,42.53%,10.36,6.20%,2.64%,0.25%,,62.31,31-12-2020,2.24%,109.60%,23-12-2020,4.84%,94.57%,United States,4000,17.60%,27.34,179.23M,1.46,9.2,20.81%,182.3M,1.25,62.31,205.66,350326624,52.17%,466536992,32.60%,20.81%,0.06,5.21%,6.03,24060000,2683323904,1096846976,68.52,41.97,10.356152,2.24%,49.69,Chicago,United States,"[{'raw': 1618790400, 'fmt': '2021-04-19'}, {'raw': 1619136000, 'fmt': '2021-04-23'}]",69.86,74,1096846976,11359113216,274211.744,357572114.2
COLD,Americold Realty Trust,"Americold is the world's largest publicly traded REIT focused on the ownership, operation, acquisition and development of temperature-controlled warehouses. Based in Atlanta, Georgia, Americold owns and operates 185 temperature-controlled warehouses, with over 1 billion refrigerated cubic feet of storage, in the United States, Australia, New Zealand, Canada, and Argentina. Americold's facilities are an integral component of the supply chain connecting food producers, processors, distributors and retailers to consumers.",Real Estate,REIT—Industrial,0.111839,9.002,14.77%,4.53,7.80%,1.15%,0.25%,,35.67,31-12-2020,2.43%,763.64%,30-12-2020,0.30%,108.59%,United States,16300,,28.58,251.58M,0.71,2.37,1.23%,252.37M,0.11,35.67,85.12,375348736,28.16%,293680000,9.96%,1.23%,1.44,2.06%,9.78,609537024,3228399104,1987726976,41.29,23.3,4.528738,2.43%,324.27,Atlanta,United States,"[{'raw': 1620172800, 'fmt': '2021-05-05'}, {'raw': 1620604800, 'fmt': '2021-05-10'}]",44.25,46,1987726976,9001894912,121946.4402,197977606.8
AMH,American Homes 4 Rent,"American Homes 4 Rent (NYSE: AMH) is a leader in the single-family home rental industry and ""American Homes 4 Rent"" is fast becoming a nationally recognized brand for rental homes, known for high-quality, good value and tenant satisfaction. We are an internally managed Maryland real estate investment trust, or REIT, focused on acquiring, developing, renovating, leasing, and operating attractive, single-family homes as rental properties. As of September 30, 2020, we owned 53,229 single-family properties in selected submarkets in 22 states.",Real Estate,REIT—Residential,0.511917,10.199,40.08%,8.62,5.40%,2.16%,0.25%,,32.2,31-12-2020,0.64%,71.43%,12-03-2021,14.21%,88.54%,United States,1447,9.30%,23.39,270.48M,0.33,1.76,11.87%,316.12M,0.28,32.2,43.83,400367360,53.55%,474100000,20.43%,11.87%,0.62,1.62%,3.86,137060000,2836578048,1182835968,32.54,17.5,8.622902,0.64%,116.25,Calabasas,United States,"[{'raw': 1620172800, 'fmt': '2021-05-05'}, {'raw': 1620604800, 'fmt': '2021-05-10'}]",34.11,38,1182835968,10199478272,817440.199,241653388.3
EL,"Estee Lauder Companies, Inc. (T","The EstÃ©e Lauder Companies Inc. manufactures and markets skin care, makeup, fragrance, and hair care products. The company offers a range of skin care products, including moisturizers, serums, cleansers, toners, body care, exfoliators, acne care and oil correctors, facial masks, cleansing devices, and sun care products; and makeup products, such as lipsticks, lip glosses, mascaras, foundations, eyeshadows, nail polishes, and powders, as well as compacts, brushes, and other makeup tools. It also provides fragrance products in various forms comprising eau de parfum sprays and colognes, as well as lotions, powders, creams, candles, and soaps; and hair care products that include shampoos, conditioners, styling products, treatment, finishing sprays, and hair color products, as well as sells ancillary products and services. The company offers its products under EstÃ©e Lauder, Aramis, Clinique, Lab Series, Origins, MÂ·AÂ·C, Bobbi Brown, La Mer, Aveda, Jo Malone London, Bumble and bumble, Darphin, Smashbox, Le Labo, Editions de Parfums FrÃ©dÃ©ric Malle, GLAMGLOW, By Kilian, BECCA, Too Faced, RODIN olio lusso, FLIRT!, Kiton, and Tom Ford brands. It also holds license arrangements for Tommy Hilfiger, Donna Karan New York, DKNY, Michael Kors, Ermenegildo Zegna, Dr. Andrew Weil, TOM FORD BEAUTY, AERIN, and Tory Burch brands. The company sells its products through department stores, specialty-multi retailers, upscale perfumeries and pharmacies, and salons and spas; freestanding stores; its own and authorized retailer Websites; third-party online malls; stores in airports and on cruise ships; in-flight and duty-free shops; and self-select outlets. It has operations in the Americas, Europe, the Middle East, Africa, and the Asia Pacific. The EstÃ©e Lauder Companies Inc. has a joint development agreement with Atropos Therapeutics Inc. to discover senomodulators. The company was founded in 1946 and is headquartered in New York, New York.",Consumer Defensive,Household & Personal Products,0.920368,104.914,21.16%,7.39,5.00%,1.06%,0.14%,,289.21,31-12-2020,0.51%,59.13%,25-02-2021,4.29%,91.68%,United States,48000,56.70%,38.58,228.29M,6.96,19.35,6.54%,229.74M,2.53,289.21,148.17,2047374976,75.36%,3003000064,15.12%,6.54%,1.39,7.15%,39.21,5555999744,8083999744,14190000128,298.31,137.01,7.393483,0.51%,114.45,New York,United States,"[{'raw': 1620000000, 'fmt': '2021-05-03'}]",297.05,348,14190000128,1.04914E+11,295625.0027,2145528019
O,Realty Income Corporation,"Realty Income, The Monthly Dividend Company, is an S&P 500 company dedicated to providing stockholders with dependable monthly income. The company is structured as a REIT, and its monthly dividends are supported by the cash flow from over 6,500 real estate properties owned under long-term lease agreements with our commercial clients. To date, the company has declared 608 consecutive common stock monthly dividends throughout its 52-year operating history and increased the dividend 109 times since Realty Income's public listing in 1994 (NYSE: O). The company is a member of the S&P 500 Dividend Aristocrats index. Additional information about the company can be obtained from the corporate website at www.realtyincome.com.",Real Estate,REIT—Retail,0.72156,23.497,67.54%,14.23,5.20%,3.51%,0.25%,,62.93,31-12-2020,4.53%,245.70%,26-02-2021,0.16%,75.60%,United States,208,-8.80%,21.14,372.56M,1.54,2.07,23.94%,373.39M,1.14,62.93,81.79,998388992,93.67%,1115543040,48.45%,23.94%,3.97,2.55%,4.78,824476032,9011638272,1651624960,66.8,38,14.226896,4.53%,55.2,San Diego,United States,"[{'raw': 1620000000, 'fmt': '2021-05-03'}, {'raw': 1620345600, 'fmt': '2021-05-07'}]",69.59,79,1651624960,23497496576,7940504.615,800212293.1
NKE,"Nike, Inc.","NIKE, Inc., together with its subsidiaries, designs, develops, markets, and sells athletic footwear, apparel, equipment, and accessories worldwide. The company offers NIKE brand products in six categories, including running, NIKE basketball, the Jordan brand, football, training, and sportswear. It also markets products designed for kids, as well as for other athletic and recreational uses, such as American football, baseball, cricket, golf, lacrosse, skateboarding, tennis, volleyball, walking, wrestling, and other outdoor activities; and apparel with licensed college and professional team and league logos, as well as sells sports apparel. In addition, the company sells a line of performance equipment and accessories comprising bags, socks, sport balls, eyewear, timepieces, digital devices, bats, gloves, protective equipment, and other equipment for sports activities; and various plastic products to other manufacturers. Further, it provides athletic and casual footwear, apparel, and accessories under the Jumpman trademark; casual sneakers, apparel, and accessories under the Converse, Chuck Taylor, All Star, One Star, Star Chevron, and Jack Purcell trademarks; and action sports and youth lifestyle apparel and accessories under the Hurley trademark. Additionally, the company licenses agreements that permit unaffiliated parties to manufacture and sell apparel, digital devices, and applications and other equipment for sports activities under NIKE-owned trademarks. It sells its products to footwear stores; sporting goods stores; athletic specialty stores; department stores; skate, tennis, and golf shops; and other retail accounts through NIKE-owned retail stores, digital platforms, independent distributors, licensees, and sales representatives. The company was formerly known as Blue Ribbon Sports, Inc. and changed its name to NIKE, Inc. in 1971. NIKE, Inc. was founded in 1964 and is headquartered in Beaverton, Oregon.",Consumer Cyclical,Footwear & Accessories,0.86078,221.418,11.85%,5.79,8.90%,1.05%,0.18%,110.29%,140.45,30-11-2020,0.72%,57.06%,26-02-2021,0.31%,83.93%,United States,75400,12.20%,43.66,1.25B,3.89,20.79,7.39%,1.27B,1.77,140.45,120.35,5066500096,42.99%,4534000128,10.12%,7.39%,1.75,7.88%,24.49,11811999744,12805000192,38253998080,147.95,60,5.788101,0.72%,79.17,Beaverton,United States,"[{'raw': 1616025600, 'fmt': '2021-03-18'}]",163.59,185,38253998080,2.21418E+11,507347.4546,3871304606
TNDM,"Tandem Diabetes Care, Inc.","Tandem Diabetes Care, Inc., a medical device company, designs, develops, and commercializes various products for people with insulin-dependent diabetes in the United States. The company's flagship product is the t:slim X2 insulin delivery system, a pump platform that comprises t:slim X2 pump, its 300-unit disposable insulin cartridge, and an infusion set. It also provides t:slim X2 insulin with Basal-IQ and control IQ technology; t:slim X2 with G5 Integration; and Tandem Device Updater, a tool that allows users to update their pump's software. In addition, the company offers t:connect, a web-based data management application, which provides a visual way to display diabetes therapy management data from the pump, continuous glucose monitoring, and supported blood glucose meters for users, their caregivers, and their healthcare providers; and Sugarmate, a mobile app for people with diabetes who use insulin. Its products in development include t:sport insulin delivery system; and connected (mobile) health offerings. Tandem Diabetes Care, Inc. has a development and commercialization agreement with Dexcom, Inc. The company was formerly known as Phluid Inc. and changed its name to Tandem Diabetes Care, Inc. in January 2008. Tandem Diabetes Care, Inc. was incorporated in 2006 and is headquartered in San Diego, California.",Healthcare,Medical Devices,0.159263,5.522,4.95%,11.07,55.00%,2.72%,0.25%,,88.34,31-12-2020,,0.00%,,1.33%,89.46%,United States,1500,541.00%,"2,111.09",61.69M,0.54,15.03,-6.89%,62.5M,-0.56,88.34,62.33,-17553250,52.23%,24669000,-1.59%,-6.89%,5.46,-0.95%,8.18,484936000,228319008,498830016,123.74,43.69,11.069249,,,San Diego,United States,"[{'raw': 1619568000, 'fmt': '2021-04-28'}, {'raw': 1620000000, 'fmt': '2021-05-03'}]",127.67,150,498830016,5521673728,332553.344,-7931397.254
CAG,"ConAgra Brands, Inc.","Conagra Brands, Inc., together with its subsidiaries, operates as a consumer packaged goods food company in North America. The company operates through Grocery & Snacks, Refrigerated & Frozen, International, and Foodservice segments. The Grocery & Snacks segment primarily offers shelf stable food products in various retail channels in the United States. The Refrigerated & Frozen segment provides temperature controlled food products in various retail channels in the United States. The International segment offers food products in various temperature states in retail and foodservice channels outside of the United States. The Foodservice segment offers food products, including meals, entrees, sauces, and various custom-manufactured culinary products packaged for sale to restaurants and other foodservice establishments in the United States. The company sells its products under the Birds Eye, Marie Callender's, Banquet, Healthy Choice, Slim Jim, Reddi-wip, Vlasic, Angie's BOOMCHICKAPOP, Duke's, Earth Balance, Gardein, Frontera, Chef Boyardee, and Alexia brands. The company was formerly known as ConAgra Foods, Inc. and changed its name to Conagra Brands, Inc. in November 2016. Conagra Brands, Inc. was founded in 1919 and is headquartered in Chicago, Illinois.",Consumer Defensive,Packaged Foods,0.827193,18.117,16.99%,1.57,6.20%,1.05%,0.67%,,37.08,29-11-2020,2.50%,40.20%,28-01-2021,0.41%,84.75%,United States,16500,45.50%,11.4,486.39M,2.58,2.16,9.67%,488.58M,2.27,37.08,112.64,1183112448,29.17%,1956499968,17.94%,9.67%,0.3,5.77%,23.6,68000000,9539800064,11516999680,39.34,22.88,1.5730233,2.50%,16.33,Chicago,United States,"[{'raw': 1616976000, 'fmt': '2021-03-29'}, {'raw': 1617321600, 'fmt': '2021-04-02'}]",37.94,44,11516999680,18116509696,697999.9806,2066149743
TCF,TCF Financial Corporation,"TCF Financial Corporation operates as the financial holding company for TCF National Bank that provides various financial products and services in the United States and Canada. It operates through Consumer Banking, Wholesale Banking, and Enterprise Services segments. The company offers checking, savings, and money market accounts; certificates of deposit; and individual retirement accounts. It also provides consumer loans; loans secured by personal property, as well as unsecured personal loans; commercial and industrial loans; commercial real estate loans; lease and equipment financing products; inventory financing products; and residential, consumer, and small business lending products. In addition, the company offers investment management and custodial, trust, and financial and estate planning services; retirement planning and employee benefit programs; and cash management, international trade finance, foreign exchange management, and loan syndication services, as well as sells investment products, such as annuity products and mutual funds. Further, it provides treasury services comprising investment and borrowing portfolios, as well as manages capital, debt, and market risks; check cashing and remittance services; lines of credit, letters of credit, and capital market products; and credit and debit cards. As of December 31, 2019, the company had 520 branches, including 396 traditional branches, 121 supermarket branches, and three campus branches located in Michigan, Illinois, Minnesota, Colorado, Ohio, Wisconsin, Arizona, and South Dakota; and 1,099 ATMs. TCF Financial Corporation was founded in 1923 and is headquartered in Detroit, Michigan.",Financial Services,Banks—Regional,1.763271,7.504,6.73%,4.17,-12.20%,-0.82%,-0.20%,,49.17,31-12-2020,2.91%,100.00%,11-02-2021,1.37%,87.12%,United States,6543,-18.70%,,150.07M,3.19,1.36,12.37%,152.51M,1.4,49.17,,,0.00%,121106000,28.02%,12.37%,,0.49%,11.86,1436667008,2134151040,1800752000,49.5,16.96,4.1669188,2.91%,35.12,Detroit,United States,"[{'raw': 1619395200, 'fmt': '2021-04-26'}, {'raw': 1619740800, 'fmt': '2021-04-30'}]",44.32,54,1800752000,7503587328,275218.0957,504570710.4
PSA,Public Storage,"Public Storage, a member of the S&P 500 and FT Global 500, is a REIT that primarily acquires, develops, owns and operates self-storage facilities. At September 30, 2020, we had: (i) interests in 2,504 self-storage facilities located in 38 states with approximately 171 million net rentable square feet in the United States, (ii) an approximate 35% common equity interest in Shurgard Self Storage SA (Euronext Brussels:SHUR) which owned 239 self-storage facilities located in seven Western European nations with approximately 13 million net rentable square feet operated under the ÂShurgardÂ brand and (iii) an approximate 42% common equity interest in PS Business Parks, Inc. (NYSE:PSB) which owned and operated approximately 28 million rentable square feet of commercial space at September 30, 2020. Our headquarters are located in Glendale, California.",Real Estate,REIT—Industrial,0.100758,42.483,68.20%,14.18,5.00%,3.41%,0.24%,,243.05,31-12-2020,3.35%,127.19%,15-03-2021,13.29%,82.26%,United States,5400,-9.00%,23.86,151.6M,7.83,8.9,45.31%,174.79M,6.29,243.05,28.67,1504989696,71.04%,2042902016,49.96%,45.31%,0.65,8.07%,17.17,257560000,2544992000,2995565056,246.52,155.37,14.181869,3.35%,38.64,Glendale,United States,"[{'raw': 1619568000, 'fmt': '2021-04-28'}, {'raw': 1620000000, 'fmt': '2021-05-03'}]",245.36,270,2995565056,42482708480,554734.2696,1496584302
KRC,Kilroy Realty Corporation,"Kilroy Realty Corporation (NYSE: KRC, the ÂcompanyÂ, ÂKRCÂ) is a leading West Coast landlord and developer, with a major presence in San Diego, Greater Los Angeles, the San Francisco Bay Area, and the Pacific Northwest. The company has earned global recognition for sustainability, building operations, innovation and design. As pioneers and innovators in the creation of a more sustainable real estate industry, the company's approach to modern business environments helps drive creativity, productivity and employee retention for some of the world's leading technology, entertainment, life science and business services companies. KRC is a publicly traded real estate investment trust (ÂREITÂ) and member of the S&P MidCap 400 Index with more than seven decades of experience developing, acquiring and managing office and mixed-use projects. As of September 30, 2020, KRC's stabilized portfolio totaled approximately 14.3 million square feet of primarily office and life science space that was 92.2% occupied and 95.5% leased. The company also had 808 residential units in Hollywood and San Diego, which had a quarterly average occupancy of 85.0% and 37.5%, respectively. In addition, KRC had seven in-process development projects with an estimated total investment of $1.9 billion, totaling approximately 2.3 million square feet of office and life science space. The office and life science space was 90% leased.",Real Estate,REIT—Office,0.897074,8.035,50.71%,8.94,4.10%,2.08%,0.23%,,69.05,31-12-2020,2.88%,120.86%,30-03-2021,1.43%,104.65%,United States,252,8.50%,22.67,114.21M,2.09,1.59,20.83%,116.04M,1.63,69.05,76.2,391967136,70.98%,455590016,28.69%,20.83%,2.15,1.70%,7.93,731990976,4021458944,898396992,70.54,45.28,8.944019,2.88%,42.36,Los Angeles,United States,"[{'raw': 1619481600, 'fmt': '2021-04-27'}, {'raw': 1620000000, 'fmt': '2021-05-03'}]",70.07,91,898396992,8035279872,3565067.429,257750097
EQT,EQT Corporation,"EQT Corporation operates as a natural gas production company in the United States. The company produces natural gas, natural gas liquids (NGLs), and crude oil. As of December 31, 2020, it had 19.8 trillion cubic feet of proved natural gas, NGLs, and crude oil reserves across approximately 1.8 million gross acres. The company was founded in 1878 and is headquartered in Pittsburgh, Pennsylvania.",Energy,Oil & Gas E&P,1.330985,5.229,58.86%,2,-0.70%,-0.41%,-0.21%,,18.75,31-12-2020,0.15%,,13-02-2020,1.06%,91.73%,United States,624,,9.93,277.58M,0.55,0.56,-37.02%,278.85M,-3.71,18.75,53.71,839488128,30.34%,1537700992,-16.47%,-37.02%,0.33,-1.46%,10.02,18210000,4975378944,2612252928,19.69,5.63,2.001534,0.15%,,Pittsburgh,United States,"[{'raw': 1620172800, 'fmt': '2021-05-05'}, {'raw': 1620604800, 'fmt': '2021-05-10'}]",22.31,31,2612252928,5228512768,4186302.769,-430238057.2
DELL,Dell Technologies Inc.,"Dell Technologies Inc. designs, develops, manufactures, markets, sells, and support IT hardware, software, and services solutions worldwide. It operates through three segments: Infrastructure Solutions Group (ISG), Client Solutions Group (CSG), and VMware. The ISG segment provides traditional and next-generation storage solutions; and rack, blade, tower, and hyperscale servers. It also offers networking products and services that help its business customers to transform and modernize their infrastructure, mobilize and enrich end-user experiences, and accelerate business applications and processes; and attached software and peripherals, as well as support and deployment, configuration, and extended warranty services. The CSG segment offers desktops, notebooks, and workstations; displays and projectors; attached and third-party software and peripherals, as well as support and deployment, configuration, and extended warranty services. The VMware segment supports and addresses various IT priorities of customers, including accelerating their cloud journey, modernizing their applications, empowering digital workspaces, transforming networking, and embracing intrinsic security. This segment enables its customers to digitally transform their operations as they ready their applications, infrastructure, and employees for constantly evolving business needs. It also offers cloud-native platform that makes software development and IT operations a strategic advantage for customers. The company also provides information security and cybersecurity solutions; cloud software and infrastructure-as-a-service solutions that enable customers to migrate, run, and manage mission-critical applications in cloud-based IT environments; cloud-based integration services; and financial services. The company was formerly known as Denali Holding Inc. and changed its name to Dell Technologies Inc. in August 2016. Dell Technologies Inc. was founded in 1984 and is headquartered in Round Rock, Texas.",Technology,Computer Hardware,0.91988,66.323,12.11%,0.7,8.70%,1.05%,1.50%,,88.82,29-01-2021,,0.00%,,2.45%,86.69%,United States,,200.70%,12.35,256.78M,8.31,26.87,3.45%,260.57M,4.22,88.82,635.3,2744750080,31.22%,11406999552,5.46%,3.45%,0.59,2.65%,126.64,14200999936,47984001024,94223998976,89.47,25.51,0.70389074,,21.05,Round Rock,United States,"[{'raw': 1622073600, 'fmt': '2021-05-27'}]",88.17,101,94223998976,66323402752,,5144630344
ZTS,Zoetis Inc.,"Zoetis Inc. discovers, develops, manufactures, and commercializes animal health medicines, vaccines, and diagnostic products in the United States and internationally. It commercializes products primarily across species, including livestock, such as cattle, swine, poultry, fish, and sheep; and companion animals comprising dogs, cats, and horses. The company offers vaccines, which are biological preparations to prevent diseases of the respiratory, gastrointestinal, and reproductive tracts or induce a specific immune response; anti-infectives that prevent, kill, or slow the growth of bacteria, fungi, or protozoa; and parasiticides that prevent or eliminate external and internal parasites that include fleas, ticks, and worms. It also provides other pharmaceutical products, which comprise pain and sedation, antiemetic, reproductive, and oncology products; Dermatology products for itch associated with allergic conditions and atopic dermatitis; and medicated feed additives that offer medicines to livestock. In addition, the company offers portable blood and urine analysis systems, and point-of-care diagnostic products, including instruments and reagents, rapid immunoassay tests, reference laboratory kits, and blood glucose monitors; and other non-pharmaceutical products, including nutritionals and agribusiness services, as well as products and services in areas, such as biodevices, genetics tests, and precision livestock farming. It markets its products to veterinarians, livestock producers, and retail outlets, as well as third-party veterinary distributors through its sales representatives, and technical and veterinary operations specialists. The company was founded in 1952 and is headquartered in Parsippany, New Jersey.",Healthcare,Drug Manufacturers—Specialty & Generic,0.633802,72.519,31.85%,10.86,7.90%,2.52%,0.23%,,152.57,31-12-2020,0.53%,23.39%,20-04-2021,0.08%,94.21%,United States,11300,-6.50%,28.31,474.34M,4.95,19.24,24.54%,475.27M,3.42,152.57,197.19,1381750016,69.47%,2126000000,34.47%,24.54%,2.13,11.43%,14.04,3606000128,7440000000,6674999808,176.64,90.14,10.86431,0.53%,44.61,Parsippany,United States,"[{'raw': 1620086400, 'fmt': '2021-05-04'}, {'raw': 1620604800, 'fmt': '2021-05-10'}]",186.67,210,6674999808,72519270400,590707.9476,2300872434
LNC,Lincoln National Corporation,"Lincoln National Corporation, through its subsidiaries, operates multiple insurance and retirement businesses in the United States. It operates through four segments: Annuities, Retirement Plan Services, Life Insurance, and Group Protection. The Annuities segment offers variable, fixed, and indexed variable annuities. The Retirement Plan Services segment provides employers with retirement plan products and services primarily in the defined contribution retirement plan marketplace. This segment offers individual and group variable annuities, group fixed annuities, and mutual fund-based programs; and a range of plan services, including plan recordkeeping, compliance testing, participant education, and trust and custodial services. The Life Insurance segment provides life insurance products, including term insurance, such as single and survivorship versions of universal life insurance; variable universal life insurance; indexed universal life insurance products; and critical illness and long-term care riders. The Group Protection segment offers group non-medical insurance products comprising short and long-term disability, statutory disability and paid family medical leave administration and absence management services, term life, dental, vision and accident, and critical illness benefits and services to the employer marketplace through various forms of employee-paid and employer-paid plans. The company distributes its products through consultants, brokers, planners, agents, financial advisors, third-party administrators, and other intermediaries. Lincoln National Corporation was founded in 1905 and is based in Radnor, Pennsylvania.",Financial Services,Insurance—Life,2.230227,12.055,3.06%,0.69,-4.80%,-0.15%,-0.21%,,62.8,31-12-2020,2.63%,62.50%,09-04-2021,5.84%,79.93%,United States,10966,-66.90%,16.37,180.5M,10.75,0.53,2.86%,191.96M,2.56,62.8,35.7,2746374912,21.86%,534000000,4.56%,2.86%,0.56,0.14%,90.07,6208999936,8104000000,17439000576,63.14,16.11,0.6912645,2.63%,24.53,Radnor,United States,"[{'raw': 1620086400, 'fmt': '2021-05-04'}, {'raw': 1620604800, 'fmt': '2021-05-10'}]",56,65,17439000576,12054962176,1590279.097,795218426.3
U,Unity Software Inc.,"Unity Software Inc. operates a real-time 3D development platform. Its platform provides software solutions to create, run, and monetize interactive, real-time 2D and 3D content for mobile phones, tablets, PCs, consoles, and augmented and virtual reality devices. The company offers its solutions directly through its online store and field sales operations in North America, Denmark, Finland, the United Kingdom, Germany, Japan, China, Singapore, and South Korea, as well as indirectly through independent distributors and resellers worldwide. The company was founded in 2004 and is headquartered in San Francisco, California.",Technology,Software—Application,,29.374,2.58%,38.03,39.40%,1.02%,0.03%,,105.7,31-12-2020,,0.00%,,16.25%,61.97%,United States,4001,,-122.93,130.59M,,,-36.55%,273.54M,,105.7,6.08,16653000,77.69%,19913000,-35.05%,-36.55%,4.03,-9.85%,4.55,1751984000,123907000,772444992,174.94,65.11,38.02789,,,San Francisco,United States,"[{'raw': 1612396800, 'fmt': '2021-02-04'}]",140.82,175,772444992,29374451712,193062.9823,-270741969.7
SJM,J.M. Smucker Company (The) New,"The J. M. Smucker Company manufactures and markets food and beverage products worldwide. It operates in four segments: U.S. Retail Pet Foods, U.S. Retail Coffee, U.S. Retail Consumer Foods, and International and Away From Home. The company offers pet food and snacks; mainstream roast, ground, single serve, and premium coffee; peanut butter and specialty spreads; fruit spreads, shortening and oils, and frozen sandwiches and snacks; and foodservice hot beverage, foodservice portion control, and flour products, as well as dog and cat food, frozen handheld products, portion control products, juices and beverages, and baking mixes and ingredients. It provides its products under the Meow Mix, Kibbles Ân Bits, 9Lives, Nature's Recipe, Milk-Bone, Pup-Peroni, Rachael Ray Nutrish, Natural Balance, Folgers, CafÃ© Bustelo, Dunkin' Donuts, 1850, Jif, Smucker's, Smucker's Uncrustables, Crisco, Robin Hood, and Five Roses brands. The company sells its products through direct sales and brokers to food retailers and wholesalers, club stores, discount and dollar stores, online retailers, pet specialty stores, natural foods stores and distributors, drug stores, military commissaries, and mass merchandisers; and through retail channels, and foodservice distributors and operators. The J. M. Smucker Company was founded in 1897 and is headquartered in Orrville, Ohio.",Consumer Defensive,Packaged Foods,0.286023,13.308,19.10%,1.63,5.30%,1.01%,0.62%,,121.44,31-01-2021,2.98%,42.33%,11-02-2021,4.31%,85.28%,United States,7300,39.50%,9.27,105.1M,8.61,1.62,11.69%,109.59M,8.41,121.44,60.9,1476412544,39.04%,1561699968,17.99%,11.69%,0.44,5.56%,71.93,501500000,5000800256,8174499840,131.69,91.88,1.6280047,2.98%,14.44,Orrville,United States,"[{'raw': 1622592000, 'fmt': '2021-06-02'}]",117.77,127,8174499840,13308124160,1119794.499,1470592521
GIL,"Gildan Activewear, Inc.","Gildan Activewear Inc. manufactures and sells various apparel products in the United States, Canada, and internationally. It provides various activewear products, including T-shirts, fleece tops and bottoms, and sport shirts under the Gildan, Gildan Performance, Gildan Hammer, Comfort Colors, American Apparel, Anvil by Gildan, Alstyle, Prim + Preux, and GoldToe brands. The company also offers hosiery products comprising athletic; dress; and casual, liner, therapeutic, and workwear socks, as well as sheer panty hoses, tights, and leggings under the brands of Gildan, Under Armour, GoldToe, PowerSox, GT a GoldToe Brand, Silver Toe, Signature Gold by Goldtoe, Peds, MediPeds, Kushyfoot, Therapy Plus, All Pro, Secret, Silks, Secret Silky, and American Apparel. In addition, it provides men's and boys' underwear products, and ladies panties under the Gildan and Gildan Platinum brand names; and ladies' shapewear, intimates, and accessories under the Secret and Secret Silky brands. The company sells its products to wholesale distributors, screen printers, or embellishers, as well as to retailers and consumer brand companies. The company was formerly known as Textiles Gildan Inc. and changed its name to Gildan Activewear Inc. in March 1995. Gildan Activewear Inc. was founded in 1946 and is headquartered in Montreal, Canada.",Consumer Cyclical,Apparel Manufacturing,1.74657,6.176,20.95%,3.12,4.80%,1.01%,0.32%,,31.27,03-01-2021,0.51%,,11-03-2020,1.83%,93.64%,Canada,44000,107.20%,59.19,194.44M,1.97,3.98,-11.37%,198.31M,-1.14,31.27,71.91,452710240,13.88%,415030016,-0.64%,-11.37%,2.21,-0.25%,9.99,594044992,1121008000,1981276032,32.02,9.42,3.1172051,0.51%,,Montreal,Canada,[],33.12,37,1981276032,6176044032,45029.00073,-12680166.6
